ido,esperanto,similarity,rank,source
1946,uk,0.9592,1037,bert-alignment
1946,portugalio,0.9591,1037,bert-alignment
1946,muzikisto,0.9589,1037,bert-alignment
1946),muzikisto,0.972,1396,bert-alignment
1946),korporacio,0.9705,1396,bert-alignment
1946),kompanio,0.9703,1396,bert-alignment
1947,proklamita,0.9577,1190,bert-alignment
1947,komponita,0.9573,1190,bert-alignment
1947,latina,0.9571,1190,bert-alignment
1947),korporacio,0.9687,2027,bert-alignment
1947),korea,0.9686,2027,bert-alignment
1947),konferenco,0.968,2027,bert-alignment
1948,teatraĵoj,0.9559,1047,bert-alignment
1948,proklamita,0.9559,1047,bert-alignment
1948,grafikisto,0.9555,1047,bert-alignment
1948),korea,0.9703,2284,bert-alignment
1948),korporacio,0.9703,2284,bert-alignment
1948),muzikisto,0.9699,2284,bert-alignment
1949,grafikisto,0.9605,1345,bert-alignment
1949,berlin,0.9595,1345,bert-alignment
1949,inventisto,0.9594,1345,bert-alignment
1949),politikisto,0.9713,2457,bert-alignment
1949),grafikisto,0.9712,2457,bert-alignment
1949),muzikisto,0.971,2457,bert-alignment
195,devis,0.9739,3510,bert-alignment
195,pest,0.9735,3510,bert-alignment
195,reta,0.9734,3510,bert-alignment
1950,scott,0.9691,1269,bert-alignment
1950,produktita,0.9687,1269,bert-alignment
1950,komponita,0.9686,1269,bert-alignment
1950),korea,0.9726,2227,bert-alignment
1950),muzikisto,0.9725,2227,bert-alignment
1950),arkitekto,0.9719,2227,bert-alignment
1951,interveno,0.9581,1377,bert-alignment
1951,latina,0.9578,1377,bert-alignment
1951,traktado,0.9575,1377,bert-alignment
1951),muzikisto,0.9709,2574,bert-alignment
1951),korporacio,0.9708,2574,bert-alignment
1951),korea,0.9707,2574,bert-alignment
1952,poemo,0.9549,1261,bert-alignment
1952,observatory,0.9543,1261,bert-alignment
1952,komponita,0.9542,1261,bert-alignment
1952),kompanio,0.968,2305,bert-alignment
1952),poemo,0.9677,2305,bert-alignment
1952),korporacio,0.9675,2305,bert-alignment
1953,színház,0.9454,1253,bert-alignment
1953,koncentrejo,0.9454,1253,bert-alignment
1953,traktado,0.9449,1253,bert-alignment
1953),korea,0.967,2831,bert-alignment
1953),muzikisto,0.9666,2831,bert-alignment
1953),korporacio,0.966,2831,bert-alignment
1954,muzikisto,0.9587,1100,bert-alignment
1954,prezentita,0.9575,1100,bert-alignment
1954,korea,0.9571,1100,bert-alignment
1954),muzikisto,0.9692,2671,bert-alignment
1954),korporacio,0.9689,2671,bert-alignment
1954),kompanio,0.9688,2671,bert-alignment
1955,esperantisto,0.9462,1539,bert-alignment
1955,komponita,0.9452,1539,bert-alignment
1955,observatory,0.9442,1539,bert-alignment
1955),muzikisto,0.9659,2672,bert-alignment
1955),korea,0.9658,2672,bert-alignment
1955),esperantisto,0.9653,2672,bert-alignment
1956,junio,0.9486,1121,bert-alignment
1956,prezentita,0.9472,1121,bert-alignment
1956,american,0.9463,1121,bert-alignment
1956),prezentita,0.9695,2596,bert-alignment
1956),muzikisto,0.9688,2596,bert-alignment
1956),prezentado,0.9684,2596,bert-alignment
"1956,",prezentita,0.9741,4474,bert-alignment
"1956,",vizitis,0.973,4474,bert-alignment
"1956,",prezentado,0.9727,4474,bert-alignment
1957,grafikisto,0.9604,1198,bert-alignment
1957,komponita,0.9599,1198,bert-alignment
1957,publikigis,0.9594,1198,bert-alignment
1957),arkitekto,0.9707,2141,bert-alignment
1957),prezentita,0.9704,2141,bert-alignment
1957),muzikisto,0.9702,2141,bert-alignment
"1957,",prezentita,0.9754,4922,bert-alignment
"1957,",vizitis,0.9753,4922,bert-alignment
"1957,",konstruo,0.9753,4922,bert-alignment
1958,konstruita,0.9593,1204,bert-alignment
1958,komponita,0.959,1204,bert-alignment
1958,prezentita,0.9589,1204,bert-alignment
1958),arkitekto,0.9703,2651,bert-alignment
1958),kompanio,0.9696,2651,bert-alignment
1958),prezentita,0.9694,2651,bert-alignment
1959,grafikisto,0.9578,1154,bert-alignment
1959,prezentita,0.9572,1154,bert-alignment
1959,komponita,0.9569,1154,bert-alignment
1959),korporacio,0.9682,2811,bert-alignment
1959),arkitekto,0.9678,2811,bert-alignment
1959),kompanio,0.9678,2811,bert-alignment
196,statistika,0.9774,3343,bert-alignment
196,rara,0.9773,3343,bert-alignment
196,originale,0.9766,3343,bert-alignment
1960,komponita,0.9652,851,bert-alignment
1960,prezentita,0.9651,851,bert-alignment
1960,muzikisto,0.9648,851,bert-alignment
1960),muzikisto,0.9723,2615,bert-alignment
1960),arkitekto,0.9714,2615,bert-alignment
1960),prezentita,0.9709,2615,bert-alignment
"1960,",prezentita,0.978,4205,bert-alignment
"1960,",artisto,0.9772,4205,bert-alignment
"1960,",arkitekto,0.9769,4205,bert-alignment
1960a,londona,0.9833,3198,bert-alignment
1960a,israela,0.9829,3198,bert-alignment
1960a,kolonia,0.9827,3198,bert-alignment
1961,publikigis,0.9671,1056,bert-alignment
1961,uk,0.9667,1056,bert-alignment
1961,prezentita,0.9666,1056,bert-alignment
1961),muzikisto,0.972,2674,bert-alignment
1961),prezentita,0.9716,2674,bert-alignment
1961),korporacio,0.9715,2674,bert-alignment
1962,komponita,0.9622,1216,bert-alignment
1962,esperantisto,0.9598,1216,bert-alignment
1962,prezentita,0.9598,1216,bert-alignment
1962),muzikisto,0.9713,2687,bert-alignment
1962),politikisto,0.971,2687,bert-alignment
1962),prezentita,0.9708,2687,bert-alignment
1963,komponita,0.9562,1242,bert-alignment
1963,muzikisto,0.9554,1242,bert-alignment
1963,grafikisto,0.9551,1242,bert-alignment
1963),muzikisto,0.9708,2806,bert-alignment
1963),kompanio,0.9697,2806,bert-alignment
1963),arkitekto,0.9696,2806,bert-alignment
1964,grafikisto,0.9589,1080,bert-alignment
1964,produktita,0.958,1080,bert-alignment
1964,koncepto,0.9579,1080,bert-alignment
1964),muzikisto,0.971,2515,bert-alignment
1964),arkitekto,0.9702,2515,bert-alignment
1964),koncepto,0.9701,2515,bert-alignment
1965,komponita,0.9676,1378,bert-alignment
1965,publikigis,0.9668,1378,bert-alignment
1965,prezentita,0.9667,1378,bert-alignment
1965),prezentita,0.9731,3197,bert-alignment
1965),arkitekto,0.973,3197,bert-alignment
1965),muzikisto,0.9728,3197,bert-alignment
1966,prezentita,0.9671,1273,bert-alignment
1966,muzikisto,0.9669,1273,bert-alignment
1966,grafikisto,0.9655,1273,bert-alignment
1966),muzikisto,0.9754,2778,bert-alignment
1966),prezentita,0.9745,2778,bert-alignment
1966),arkitekto,0.9739,2778,bert-alignment
1967,komponita,0.9654,1152,bert-alignment
1967,grafikisto,0.9644,1152,bert-alignment
1967,adaptita,0.9641,1152,bert-alignment
1967),muzikisto,0.9707,2231,bert-alignment
1967),prezentita,0.9706,2231,bert-alignment
1967),grafikisto,0.9705,2231,bert-alignment
1968,politikisto,0.9607,1197,bert-alignment
1968,politiko,0.9601,1197,bert-alignment
1968,grafikisto,0.9601,1197,bert-alignment
1968),korporacio,0.9707,2557,bert-alignment
1968),arkitekto,0.9705,2557,bert-alignment
1968),politikisto,0.9704,2557,bert-alignment
"1968,",artisto,0.9768,4249,bert-alignment
"1968,",korporacio,0.9764,4249,bert-alignment
"1968,",konstruo,0.9764,4249,bert-alignment
1969,komponita,0.9629,1102,bert-alignment
1969,amerika,0.9628,1102,bert-alignment
1969,prezentita,0.9623,1102,bert-alignment
1969),arkitekto,0.9703,2541,bert-alignment
1969),amerika,0.9703,2541,bert-alignment
1969),korporacio,0.9702,2541,bert-alignment
197,tria,0.9754,3345,bert-alignment
197,horo,0.974,3345,bert-alignment
197,statistika,0.9739,3345,bert-alignment
1970,komponita,0.9703,1108,bert-alignment
1970,produktita,0.969,1108,bert-alignment
1970,adaptita,0.968,1108,bert-alignment
1970),muzikisto,0.9733,2246,bert-alignment
1970),arkitekto,0.972,2246,bert-alignment
1970),politikisto,0.9719,2246,bert-alignment
"1970,",ferenc,0.9785,4908,bert-alignment
"1970,",martin,0.9779,4908,bert-alignment
"1970,",smith,0.9778,4908,bert-alignment
1970a,teatra,0.9839,3380,bert-alignment
1970a,tiama,0.9832,3380,bert-alignment
1970a,israela,0.983,3380,bert-alignment
1971,publikigis,0.9658,1301,bert-alignment
1971,prezentita,0.9651,1301,bert-alignment
1971,inventisto,0.9638,1301,bert-alignment
1971),korporacio,0.9705,2868,bert-alignment
1971),konferenco,0.9703,2868,bert-alignment
1971),prezentita,0.9697,2868,bert-alignment
1972,publikigis,0.9608,1170,bert-alignment
1972,grafikisto,0.9606,1170,bert-alignment
1972,koncepto,0.9606,1170,bert-alignment
1972),muzikisto,0.9691,2153,bert-alignment
1972),kompanio,0.9691,2153,bert-alignment
1972),koncepto,0.9689,2153,bert-alignment
"1972,",publikigis,0.9751,4717,bert-alignment
"1972,",eventuale,0.975,4717,bert-alignment
"1972,",artisto,0.9749,4717,bert-alignment
1973,muzikisto,0.9624,1159,bert-alignment
1973,artisto,0.9622,1159,bert-alignment
1973,grafikisto,0.9611,1159,bert-alignment
1973),muzikisto,0.9725,2232,bert-alignment
1973),korporacio,0.9719,2232,bert-alignment
1973),artisto,0.9714,2232,bert-alignment
"1973,",artisto,0.9783,4714,bert-alignment
"1973,",korporacio,0.9772,4714,bert-alignment
"1973,",konferenco,0.9766,4714,bert-alignment
1974,artisto,0.9693,1343,bert-alignment
1974,prezentita,0.9684,1343,bert-alignment
1974,komponita,0.9684,1343,bert-alignment
1974),korporacio,0.9717,3054,bert-alignment
1974),muzikisto,0.9713,3054,bert-alignment
1974),arkitekto,0.9713,3054,bert-alignment
"1974,",konstruo,0.9781,4401,bert-alignment
"1974,",ferenc,0.9776,4401,bert-alignment
"1974,",artisto,0.9765,4401,bert-alignment
1975,publikigita,0.96,1124,bert-alignment
1975,publikigo,0.9594,1124,bert-alignment
1975,publikigis,0.9593,1124,bert-alignment
1975),arkitekto,0.968,2352,bert-alignment
1975),muzikisto,0.9676,2352,bert-alignment
1975),korea,0.9667,2352,bert-alignment
"1975,",arkitekto,0.9761,4668,bert-alignment
"1975,",artisto,0.9758,4668,bert-alignment
"1975,",korea,0.9758,4668,bert-alignment
1976,artisto,0.9635,1175,bert-alignment
1976,arkitekto,0.9627,1175,bert-alignment
1976,komponita,0.9625,1175,bert-alignment
1976),arkitekto,0.9711,2406,bert-alignment
1976),muzikisto,0.9703,2406,bert-alignment
1976),artisto,0.9698,2406,bert-alignment
"1976,",ferenc,0.9763,4837,bert-alignment
"1976,",artisto,0.9761,4837,bert-alignment
"1976,",konstruo,0.9757,4837,bert-alignment
1977,publikigis,0.9722,1458,bert-alignment
1977,artisto,0.9712,1458,bert-alignment
1977,prezentita,0.9706,1458,bert-alignment
1977),korporacio,0.97,2970,bert-alignment
1977),muzikisto,0.97,2970,bert-alignment
1977),arkitekto,0.9695,2970,bert-alignment
1978,publikigis,0.9663,1169,bert-alignment
1978,grafikisto,0.9656,1169,bert-alignment
1978,publikigo,0.9645,1169,bert-alignment
1978),arkitekto,0.9713,2865,bert-alignment
1978),artisto,0.9708,2865,bert-alignment
1978),grafikisto,0.9703,2865,bert-alignment
1979,publikigita,0.966,1027,bert-alignment
1979,artisto,0.966,1027,bert-alignment
1979,publikigis,0.9658,1027,bert-alignment
1979),muzikisto,0.9703,2518,bert-alignment
1979),artisto,0.9701,2518,bert-alignment
1979),arkitekto,0.9696,2518,bert-alignment
"1979,",artisto,0.9768,4434,bert-alignment
"1979,",ferenc,0.9764,4434,bert-alignment
"1979,",konstruo,0.9763,4434,bert-alignment
198,versio,0.974,3704,bert-alignment
198,kilometro,0.9738,3704,bert-alignment
198,statistika,0.9732,3704,bert-alignment
1980,produktita,0.9684,1011,bert-alignment
1980,daniel,0.9678,1011,bert-alignment
1980,deklarita,0.9675,1011,bert-alignment
1980),aktoro,0.9715,2090,bert-alignment
1980),muzikisto,0.9715,2090,bert-alignment
1980),arkitekto,0.9713,2090,bert-alignment
"1980,",artisto,0.9782,4342,bert-alignment
"1980,",ferenc,0.9775,4342,bert-alignment
"1980,",prezentita,0.9772,4342,bert-alignment
1980a,israela,0.984,3749,bert-alignment
1980a,teatra,0.9832,3749,bert-alignment
1980a,turisma,0.983,3749,bert-alignment
1981,publikigita,0.9564,1125,bert-alignment
1981,deklarita,0.9563,1125,bert-alignment
1981,publikigis,0.9562,1125,bert-alignment
1981),arkitekto,0.9662,2560,bert-alignment
1981),muzikisto,0.9659,2560,bert-alignment
1981),prezentita,0.9651,2560,bert-alignment
1982,artisto,0.9746,1138,bert-alignment
1982,organizas,0.974,1138,bert-alignment
1982,publikigis,0.9736,1138,bert-alignment
1982),artisto,0.9726,2228,bert-alignment
1982),poemo,0.9722,2228,bert-alignment
1982),konferenco,0.972,2228,bert-alignment
1983,artisto,0.9717,1466,bert-alignment
1983,komponita,0.9711,1466,bert-alignment
1983,muzikisto,0.9699,1466,bert-alignment
1983),korporacio,0.9709,2559,bert-alignment
1983),muzikisto,0.9705,2559,bert-alignment
1983),artisto,0.97,2559,bert-alignment
1984,american,0.9734,1415,bert-alignment
1984,ferenc,0.9732,1415,bert-alignment
1984,sir,0.973,1415,bert-alignment
1984),korporacio,0.9709,2635,bert-alignment
1984),muzikisto,0.9696,2635,bert-alignment
1984),poemo,0.9694,2635,bert-alignment
1985,renovigita,0.9692,1210,bert-alignment
1985,publikigis,0.9692,1210,bert-alignment
1985,realigis,0.9691,1210,bert-alignment
1985),muzikisto,0.9705,2424,bert-alignment
1985),prezentita,0.9695,2424,bert-alignment
1985),mortigita,0.9695,2424,bert-alignment
1986,prezentita,0.9694,1189,bert-alignment
1986,portugalio,0.9684,1189,bert-alignment
1986,muzikisto,0.9684,1189,bert-alignment
1986),muzikisto,0.9722,2375,bert-alignment
1986),korporacio,0.9715,2375,bert-alignment
1986),prezentita,0.9714,2375,bert-alignment
1987,komponita,0.9731,1245,bert-alignment
1987,publikigis,0.9722,1245,bert-alignment
1987,renovigita,0.9722,1245,bert-alignment
1987),korporacio,0.9715,2351,bert-alignment
1987),politikisto,0.9714,2351,bert-alignment
1987),muzikisto,0.9713,2351,bert-alignment
1988,grafikisto,0.9705,1276,bert-alignment
1988,prezentita,0.9703,1276,bert-alignment
1988,american,0.9701,1276,bert-alignment
1988),muzikisto,0.974,2483,bert-alignment
1988),prezentita,0.9728,2483,bert-alignment
1988),korporacio,0.9728,2483,bert-alignment
1989,scott,0.9661,956,bert-alignment
1989,renomita,0.9659,956,bert-alignment
1989,reformita,0.9654,956,bert-alignment
1989),korporacio,0.9744,2045,bert-alignment
1989),scott,0.9733,2045,bert-alignment
1989),muzikisto,0.9731,2045,bert-alignment
"1989,",korporacio,0.9771,4172,bert-alignment
"1989,",konstruo,0.9771,4172,bert-alignment
"1989,",ferenc,0.9766,4172,bert-alignment
199,sir,0.978,3667,bert-alignment
199,unika,0.978,3667,bert-alignment
199,statistika,0.9778,3667,bert-alignment
1990,reformita,0.9724,858,bert-alignment
1990,integrita,0.9718,858,bert-alignment
1990,renomita,0.9713,858,bert-alignment
1990),ernesto,0.9761,1835,bert-alignment
1990),muzikisto,0.9756,1835,bert-alignment
1990),scott,0.9753,1835,bert-alignment
"1990,",ferenc,0.9801,4090,bert-alignment
"1990,",martin,0.9797,4090,bert-alignment
"1990,",scott,0.9796,4090,bert-alignment
1990a,israela,0.9867,4696,bert-alignment
1990a,teatra,0.9863,4696,bert-alignment
1990a,komerca,0.9861,4696,bert-alignment
1991,integrita,0.9687,776,bert-alignment
1991,prezentita,0.9682,776,bert-alignment
1991,publikigis,0.9676,776,bert-alignment
1991),korporacio,0.9734,2443,bert-alignment
1991),prezentita,0.9731,2443,bert-alignment
1991),muzikisto,0.9723,2443,bert-alignment
"1991,",ferenc,0.9788,3745,bert-alignment
"1991,",prezentita,0.9785,3745,bert-alignment
"1991,",kondukis,0.9782,3745,bert-alignment
1991.,estación,0.9895,4803,bert-alignment
1991.,provo,0.988,4803,bert-alignment
1991.,okres,0.9879,4803,bert-alignment
1992,publikigis,0.9687,916,bert-alignment
1992,bibliotekisto,0.9685,916,bert-alignment
1992,scott,0.9682,916,bert-alignment
1992),prezentita,0.9726,2519,bert-alignment
1992),muzikisto,0.9724,2519,bert-alignment
1992),scott,0.9723,2519,bert-alignment
"1992,",ferenc,0.9777,3733,bert-alignment
"1992,",scott,0.977,3733,bert-alignment
"1992,",publikigis,0.977,3733,bert-alignment
1993,organizita,0.9655,1004,bert-alignment
1993,rekonstruita,0.9654,1004,bert-alignment
1993,artisto,0.9653,1004,bert-alignment
1993),korporacio,0.9743,2471,bert-alignment
1993),konferenco,0.9732,2471,bert-alignment
1993),artisto,0.973,2471,bert-alignment
"1993,",korporacio,0.9783,4139,bert-alignment
"1993,",artisto,0.9779,4139,bert-alignment
"1993,",ferenc,0.9777,4139,bert-alignment
1993.,malfacile,0.9927,4263,bert-alignment
1993.,jaroj,0.9926,4263,bert-alignment
1993.,jarcento,0.9925,4263,bert-alignment
1994,american,0.9703,903,bert-alignment
1994,portugalio,0.9703,903,bert-alignment
1994,entrepreno,0.97,903,bert-alignment
1994),muzikisto,0.9728,1856,bert-alignment
1994),konferenco,0.9725,1856,bert-alignment
1994),korporacio,0.9725,1856,bert-alignment
1994.,orienta,0.9938,4153,bert-alignment
1994.,formas,0.9929,4153,bert-alignment
1994.,vieno,0.9923,4153,bert-alignment
1995,smith,0.9684,1085,bert-alignment
1995,publikigis,0.9681,1085,bert-alignment
1995,scott,0.968,1085,bert-alignment
1995),smith,0.974,2089,bert-alignment
1995),arkitekto,0.9734,2089,bert-alignment
1995),scott,0.9734,2089,bert-alignment
1995.,orienta,0.9943,4308,bert-alignment
1995.,ricevi,0.9932,4308,bert-alignment
1995.,formas,0.9931,4308,bert-alignment
1996,american,0.9617,962,bert-alignment
1996,laboratorio,0.9615,962,bert-alignment
1996,organizita,0.9612,962,bert-alignment
1996),prezentita,0.9743,2230,bert-alignment
1996),muzikisto,0.9739,2230,bert-alignment
1996),scott,0.9734,2230,bert-alignment
"1996,",prezentita,0.9783,4703,bert-alignment
"1996,",organizas,0.9772,4703,bert-alignment
"1996,",organizis,0.9767,4703,bert-alignment
1996.,malfacile,0.9924,3614,bert-alignment
1996.,jaroj,0.9924,3614,bert-alignment
1996.,jarcento,0.9924,3614,bert-alignment
1997,publikigis,0.9643,820,bert-alignment
1997,publikigita,0.9643,820,bert-alignment
1997,scott,0.964,820,bert-alignment
1997),konferenco,0.9719,2111,bert-alignment
1997),korporacio,0.9719,2111,bert-alignment
1997),kompanio,0.9715,2111,bert-alignment
1997.,estación,0.9899,2503,bert-alignment
1997.,okres,0.9886,2503,bert-alignment
1997.,vieno,0.9882,2503,bert-alignment
1998,laboratorio,0.9624,537,bert-alignment
1998,raymond,0.9622,537,bert-alignment
1998,ukrainio,0.962,537,bert-alignment
1998),prezentita,0.9727,2366,bert-alignment
1998),muzikisto,0.9724,2366,bert-alignment
1998),scott,0.9724,2366,bert-alignment
1998.,orienta,0.9917,885,bert-alignment
1998.,estación,0.9915,885,bert-alignment
1998.,vieno,0.9908,885,bert-alignment
1999,raymond,0.9664,770,bert-alignment
1999,american,0.965,770,bert-alignment
1999,demokratia,0.9649,770,bert-alignment
1999),ernesto,0.9742,2233,bert-alignment
1999),sistemo,0.9738,2233,bert-alignment
1999),smith,0.9736,2233,bert-alignment
"1999,",artisto,0.9776,4065,bert-alignment
"1999,",martin,0.9772,4065,bert-alignment
"1999,",korporacio,0.9772,4065,bert-alignment
1999.,estación,0.9921,3264,bert-alignment
1999.,orienta,0.9921,3264,bert-alignment
1999.,vieno,0.9918,3264,bert-alignment
19ma,detruita,0.9813,253,bert-alignment
19ma,krei,0.981,253,bert-alignment
19ma,emma,0.9809,253,bert-alignment
1ma,kreo,0.986,172,bert-alignment
1ma,unuo,0.9853,172,bert-alignment
1ma,emma,0.9853,172,bert-alignment
"1ma,",kondukis,0.9864,1887,bert-alignment
"1ma,",kondukas,0.9859,1887,bert-alignment
"1ma,",enkondukis,0.9852,1887,bert-alignment
2,dua,0.9752,340,bert-alignment
2,du,0.9739,340,bert-alignment
2,entrepreno,0.9727,340,bert-alignment
"2,",timo,0.9811,3887,bert-alignment
"2,",teritoria,0.981,3887,bert-alignment
"2,",igas,0.981,3887,bert-alignment
2.0,version,0.9782,1646,bert-alignment
2.0,urban,0.9779,1646,bert-alignment
2.0,real,0.9773,1646,bert-alignment
2.1,faris,0.9758,1923,bert-alignment
2.1,tutan,0.975,1923,bert-alignment
2.1,nove,0.9743,1923,bert-alignment
2.2,club,0.9705,2654,bert-alignment
2.2,absoluta,0.9703,2654,bert-alignment
2.2,statistika,0.97,2654,bert-alignment
2.21,renomita,0.983,4630,bert-alignment
2.21,akcepto,0.9824,4630,bert-alignment
2.21,destinita,0.9819,4630,bert-alignment
2.22,dua,0.9785,4634,bert-alignment
2.22,akcepto,0.9767,4634,bert-alignment
2.22,renomita,0.9765,4634,bert-alignment
2.24,renomita,0.9813,4723,bert-alignment
2.24,reformita,0.9809,4723,bert-alignment
2.24,ekzameno,0.9806,4723,bert-alignment
2.25,renomita,0.9819,3877,bert-alignment
2.25,klarigas,0.9816,3877,bert-alignment
2.25,establita,0.9813,3877,bert-alignment
2.26,akcepto,0.9811,4481,bert-alignment
2.26,agnoskita,0.981,4481,bert-alignment
2.26,renomita,0.9807,4481,bert-alignment
2.27,renomita,0.9799,4633,bert-alignment
2.27,establita,0.9799,4633,bert-alignment
2.27,klarigas,0.9798,4633,bert-alignment
2.28,renomita,0.9821,4484,bert-alignment
2.28,unuigita,0.9813,4484,bert-alignment
2.28,akcepto,0.9813,4484,bert-alignment
2.29,dua,0.982,3850,bert-alignment
2.29,renomita,0.9816,3850,bert-alignment
2.29,unuigita,0.9815,3850,bert-alignment
2.3,absoluta,0.9792,2241,bert-alignment
2.3,celo,0.979,2241,bert-alignment
2.3,montras,0.9787,2241,bert-alignment
2.3%,teritoria,0.9759,4404,bert-alignment
2.3%,timo,0.9752,4404,bert-alignment
2.3%,flankaj,0.975,4404,bert-alignment
2.30,renomita,0.9818,4053,bert-alignment
2.30,atingas,0.9811,4053,bert-alignment
2.30,establita,0.9808,4053,bert-alignment
2.31,renomita,0.9825,4220,bert-alignment
2.31,unuigita,0.9818,4220,bert-alignment
2.31,specifa,0.9817,4220,bert-alignment
2.32,renomita,0.9804,4593,bert-alignment
2.32,flankaj,0.9803,4593,bert-alignment
2.32,dua,0.9803,4593,bert-alignment
2.33,unuigita,0.9818,4444,bert-alignment
2.33,renomita,0.9817,4444,bert-alignment
2.33,atingas,0.9814,4444,bert-alignment
2.34,renomita,0.9822,4592,bert-alignment
2.34,akcepto,0.9819,4592,bert-alignment
2.34,unuigita,0.9818,4592,bert-alignment
2.35,scott,0.9829,3133,bert-alignment
2.35,unuigita,0.9824,3133,bert-alignment
2.35,klarigas,0.9824,3133,bert-alignment
2.36,reformita,0.9816,3911,bert-alignment
2.36,unuigita,0.9815,3911,bert-alignment
2.36,sekreta,0.9815,3911,bert-alignment
2.37,klarigas,0.9803,3673,bert-alignment
2.37,dua,0.9801,3673,bert-alignment
2.37,unuigita,0.98,3673,bert-alignment
2.38,renomita,0.9797,3492,bert-alignment
2.38,akcepto,0.9797,3492,bert-alignment
2.38,scott,0.9796,3492,bert-alignment
2.39,renomita,0.9805,3474,bert-alignment
2.39,scott,0.9795,3474,bert-alignment
2.39,flankaj,0.9793,3474,bert-alignment
2.4,vidis,0.9788,3011,bert-alignment
2.4,trovi,0.9785,3011,bert-alignment
2.4,devis,0.9782,3011,bert-alignment
2.4%,teritoria,0.9761,4478,bert-alignment
2.4%,timo,0.976,4478,bert-alignment
2.4%,flankaj,0.9756,4478,bert-alignment
2.40,renomita,0.9816,4055,bert-alignment
2.40,partion,0.9812,4055,bert-alignment
2.40,scott,0.9811,4055,bert-alignment
2.41,unuigita,0.9797,4681,bert-alignment
2.41,partion,0.9794,4681,bert-alignment
2.41,dua,0.9794,4681,bert-alignment
2.42,dua,0.976,4269,bert-alignment
2.42,km-ojn,0.9751,4269,bert-alignment
2.42,flankaj,0.975,4269,bert-alignment
2.43,akcepto,0.9796,4589,bert-alignment
2.43,renomita,0.9795,4589,bert-alignment
2.43,dua,0.9794,4589,bert-alignment
2.44,akcepto,0.9802,3730,bert-alignment
2.44,flankaj,0.9802,3730,bert-alignment
2.44,klarigas,0.9799,3730,bert-alignment
2.46,dua,0.98,4414,bert-alignment
2.46,scott,0.9799,4414,bert-alignment
2.46,akcepto,0.9796,4414,bert-alignment
2.47,klarigas,0.9803,4482,bert-alignment
2.47,liberigis,0.9802,4482,bert-alignment
2.47,scott,0.9801,4482,bert-alignment
2.48,ekzameno,0.9785,4057,bert-alignment
2.48,akcepto,0.9784,4057,bert-alignment
2.48,km-ojn,0.9781,4057,bert-alignment
2.49,flankaj,0.9814,3820,bert-alignment
2.49,renomita,0.9811,3820,bert-alignment
2.49,akcepto,0.981,3820,bert-alignment
2.5,longa,0.9751,1859,bert-alignment
2.5,absoluta,0.975,1859,bert-alignment
2.5,migra,0.9749,1859,bert-alignment
2.50,scott,0.983,4004,bert-alignment
2.50,klarigas,0.9826,4004,bert-alignment
2.50,ekzameno,0.9824,4004,bert-alignment
2.52,unuigita,0.98,4480,bert-alignment
2.52,berlina,0.9798,4480,bert-alignment
2.52,ligita,0.9798,4480,bert-alignment
2.53,berlina,0.9796,4483,bert-alignment
2.53,hugo,0.9793,4483,bert-alignment
2.53,giganta,0.9793,4483,bert-alignment
2.54,klarigas,0.9806,4346,bert-alignment
2.54,ekzameno,0.9804,4346,bert-alignment
2.54,akcepto,0.9803,4346,bert-alignment
2.55,scott,0.9817,4519,bert-alignment
2.55,klarigas,0.9816,4519,bert-alignment
2.55,unuigita,0.9806,4519,bert-alignment
2.6,absoluta,0.9771,1477,bert-alignment
2.6,devis,0.9762,1477,bert-alignment
2.6,unuiĝis,0.9759,1477,bert-alignment
2.6%,teritoria,0.9752,4222,bert-alignment
2.6%,vizitis,0.9749,4222,bert-alignment
2.6%,timo,0.9747,4222,bert-alignment
2.60,renomita,0.9825,4682,bert-alignment
2.60,scott,0.9818,4682,bert-alignment
2.60,ekzameno,0.9814,4682,bert-alignment
2.7,ligita,0.9794,2199,bert-alignment
2.7,liberigita,0.9793,2199,bert-alignment
2.7,unuigita,0.9791,2199,bert-alignment
2.7%,teritoria,0.9749,4486,bert-alignment
2.7%,ekskluzive,0.9744,4486,bert-alignment
2.7%,deklarita,0.9742,4486,bert-alignment
2.74,akcepto,0.9821,4885,bert-alignment
2.74,klarigas,0.982,4885,bert-alignment
2.74,eniris,0.9819,4885,bert-alignment
2.75,scott,0.9834,4966,bert-alignment
2.75,klarigas,0.983,4966,bert-alignment
2.75,flankaj,0.9822,4966,bert-alignment
2.76,scott,0.9817,4221,bert-alignment
2.76,akcepto,0.9816,4221,bert-alignment
2.76,klarigas,0.9815,4221,bert-alignment
2.77,liberigis,0.979,4758,bert-alignment
2.77,klarigas,0.9788,4758,bert-alignment
2.77,oficiale,0.9784,4758,bert-alignment
2.78,klarigas,0.9775,4883,bert-alignment
2.78,akcepto,0.9767,4883,bert-alignment
2.78,real,0.9763,4883,bert-alignment
2.79,unuiĝis,0.9792,4927,bert-alignment
2.79,unuigita,0.9791,4927,bert-alignment
2.79,edziniĝis,0.979,4927,bert-alignment
2.8,igas,0.9858,2799,bert-alignment
2.8,slava,0.9852,2799,bert-alignment
2.8,iloj,0.9851,2799,bert-alignment
2.8%,teritoria,0.9744,3512,bert-alignment
2.8%,evoluigis,0.974,3512,bert-alignment
2.8%,konkurso,0.9732,3512,bert-alignment
2.80,scott,0.9819,4031,bert-alignment
2.80,renomita,0.9817,4031,bert-alignment
2.80,akcepto,0.9817,4031,bert-alignment
